,Nom et prénom,Numéro de téléphone,Service proposé,lowerplot
935,Sabine Jourdan,0613884454,Entretien de terrains de golf à domicile,entretien terrain golf domicile
936,Margaux Perrier de la Neveu,0619377011,Réparation de petits travaux de menuiserie,réparation petits travaux menuiserie
937,Susan Barbe,0644270491,Garde de reptiles et d'animaux exotiques,garde reptile_danimaux exotiques
938,Rémy Leblanc Le Pires,0617246591,Rédaction de CV,rédaction_cv
939,Théodore Simon,0670321606,Installation de luminaires à domicile,installation luminaires domicile
940,Eugène de Michel,0636613376,Nettoyage de bateaux,nettoyage bateaux
941,David Parent-Pires,0603710949,Cours d'anglais à domicile,cours danglais domicile
942,Margaud Royer-Charpentier,0621613965,Assistance pour la planification d'événements corporatifs,assistance planification dévénements corporatifs
943,Arthur Descamps-Courtois,0604864316,Garde d'enfants lors de soirées de fête,garde denfants lors soirées fête
944,Odette Jean de la Bernard,0629964569,Maintenance de systèmes de chauffage et de climatisation à domicile,maintenance systèmes_chauffage climatisation domicile
945,Victoire Lenoir,0670693518,Conduite pour personnes âgées,conduite personnes âgées
946,Adrien-Patrick Didier,0638893941,Organisation de voyages sur mesure,organisation voyage mesure
947,Alain-Denis Delattre,0643558738,Préparation de déjeuners d'affaires,préparation déjeuners daffaires
948,Anne Le Rocher,0671999992,Garde de bijoux et objets précieux dans mon coffre fort ,garde bijou objets précieux coffre fort
949,Xavier Legros,0669011748,"coach sportif à domicile, tous types de sport : cross-fit, danse, musculation",coach sportif domicile tous_type sport crossfit danse musculation
950,Margaud Godard,0614417745,Garde de nuit pour animaux de compagnie,garde nuit animaux_compagnie
951,Agnès Martinez,0617250414,"Réalisation de courses pour régimes spéciaux (végétarien, bio )",réalisation course régimes spéciaux végétarien bio
952,Alain Laporte,0646474134,Accompagnement shopping personnalisé : toruver une tenue pour une soirée importante,accompagnement shopping personnalisé toruver tenue soirée importante
953,Odette-Margot Masson,0692288330,Coiffure et maquillage à domicile pour événements spéciaux,coiffure maquillage domicile événements spéciaux
954,André-Thibaut Weber,0632528200,Assistance pour le choix de cadeaux,assistance choix cadeaux
955,Zoé Ribeiro,0644090174,Réalisation de recettes personnalisées,réalisation recettes personnalisées
956,Maurice Leclerc,0680768954,Garde-malade pour enfants,gardemalade enfants
957,Claudine Hamon,0632053019,Entretien de plantes exotiques,entretien plantes exotiques
958,Michelle Delattre,0690414360,Assistance à la rédaction de discours,assistance rédaction discours
959,Véronique Pruvost,0653970619,Préparation de paniers repas équilibrés,préparation paniers repas équilibrés
960,Édouard Ferrand,0622362986,Garde de reptiles et d'animaux sauvages,garde reptile_danimaux sauvages
961,Astrid Colin,0689396491,Entretien de cheminées,entretien cheminées
962,Paul Vincent,0612576448,Garde de voitures de collection,garde voitures collection
963,Robert Maury,0656997186,Organisation de voyages à moto,organisation voyage moto
964,Vincent-Richard Chretien,0653175010,Accompagnement pour la pratique de sports extrêmes,accompagnement pratique sport extrêmes
965,Amélie Dijoux,0690902547,Décoration d'intérieur,décoration dintérieur
966,Alice Schneider,0609660388, conciergerie pour les professionnels,conciergerie professionnels
967,Grégoire Texier,0639039524,Garde de chevaux : j'ai des années d'expérience dans l'équitation et je peux prendre soin de vos animaux à quatre pattes.,garde chevaux jai années dexpérience léquitation peux prendre_soin animaux quatre pattes
968,Jacqueline Joseph Le Ferreira,0642096197,Garde d'enfants à l'occasion de mariages,garde denfants loccasion mariages
969,Constance de Lebon,0626800159,Assistance à la préparation de cocktails originaux,assistance préparation cocktail originaux
970,Joséphine Mallet,0628905189,Cours de yoga et de méditation à domicile,cours yoga méditation domicile
971,Clémence Lefort,0689396841,Garde de plantes carnivores,garde plantes carnivore
972,Nathalie Roy,0669818585,Assistance pour la rédaction de lettres et courriers administratifs,assistance rédaction lettres courriers_administratifs
973,Zacharie Fernandes,0664604765,Garde d'animaux aquatiques,garde danimaux aquatiques
974,Thibault Leclercq,0667262662," photographe personnel, visagiste pour vous mettre en valeur",photographe personnel visagiste mettre valeur
975,Jérôme Mathieu,0671232447,Accompagnement pour la pratique du golf,accompagnement pratique golf
976,Catherine Alexandre,0671619272,Garde d'enfants lors de voyages d'affaires,garde denfants lors voyage daffaires
977,Vincent De Sousa,0665531337,Garde de voitures de luxe,garde voitures luxe
978,Émilie-Jeannine Auger,0674032826,Organisation de fêtes sur le thème des super-héros,organisation fêtes thème superhéros
979,Christiane-Lucie Perrot,0639101277,Préparation de plats pour régimes spécifiques,préparation plat_régimes spécifiques
980,Robert Berger,0678395374,Cours de musique à domicile,cours musique domicile
981,Alex Marchal,0632239426,Garde d'animaux de la ferme,garde danimaux ferme
982,Suzanne-Pauline Giraud,0605346020,Assistance pour la réalisation de vidéos personnelles,assistance réalisation vidéos personnelles
983,Rémy Lecomte de la Schmitt,0661439151,Garde de chatons,garde chatons
984,Alain Briand,0678625261,Accompagnement pour la pratique de la plongée sous-marine,accompagnement pratique plongée sousmarine
985,Benoît Etienne,0650438953,Garde d'enfants pour les soirées cinéma,garde denfants soirées cinéma
986,Sophie Diallo,0647478699,Garde de caravanes et camping-cars,garde caravanes campingcars
987,Lucas Delmas,0692892759,Organisation de week-ends à thème,organisation weekend thème
988,Frédérique Duhamel,0616962005,Réalisation de masques de beauté personnalisés,réalisation masque beauté personnalisés
989,Richard Normand-Maillet,0611165005,Garde d'oiseaux exotiques,garde doiseaux exotiques
990,Anaïs Robin,0604149481,Garde de lapins et de cobayes,garde lapin cobayes
991,Anouk Delorme,0646174273,Garde de bateaux de plaisance,garde bateaux plaisance
992,Martin Bouchet,0691007059,Organisation de voyages culinaires,organisation voyage culinaires
993,Maggie Da Costa,0647847008,Garde de plantes en suspension,garde plantes suspension
994,Valérie Hamel-Prevost,0644122717,Assistance pour la création de blogs et de sites web,assistance création blog site web
995,Charlotte de Techer,0621012840,Testeur de chocolat,testeur chocolat
996,Zacharie Lecoq,0626130370,Évaluateur de bars et de clubs,évaluateur bar club
997,Raymond de la Dijoux,0643380880,Expert en dégustation de vins,expert dégustation vins
998,Henriette Lenoir,0646252501,Créateur de noms d'entreprise et de produits,créateur noms dentreprise produits
999,Marianne Seguin,0681334631,J'offre mes services pour l'entretien de votre jardin.,joffre service lentretien jardin
1000,Étienne Mahe,0608426291,Besoin d'un coup de main pour votre jardin ? Je suis là pour vous  .,besoin dun coup main jardin là
1001,Yves Le Boutin,0641640900,Je suis un jardinier passionné et je propose mes services pour l'entretien de votre jardin.,jardinier passionné propose service lentretien jardin
1002,Adélaïde Lebreton,0694196749,"Je suis disponible pour tondre votre pelouse, tailler vos arbustes et entretenir vos plantes.",disponible tondre pelouse tailler arbustes entretenir plantes
1003,Constance Sauvage,0612143150,Confiez-moi l'entretien de votre jardin et profitez d'un espace extérieur impeccable.,confiezmoi lentretien jardin profitez dun espace extérieur impeccable
1004,David Labbe de la Lamy,0625897321,Je suis équipé pour prendre soin de tous types de plantes et arbustes.,équipé prendre_soin tous_type plantes arbustes
1005,Manon Bertin,0646107540,Je suis un passionné de la nature et je prendrai soin de votre jardin comme s'il était le mien.,passionné nature prendrai soin jardin comme sil mien
1006,Christelle Dubois,0692934744,J'offre des services d'entretien de pelouse pour un gazon parfait.,joffre service dentretien pelouse gazon parfait
1007,Agathe Durand,0621980142,"Je suis compétent pour réaliser des travaux de tonte, d'aération et de scarification.",compétent réaliser travaux tonte daération scarification
1008,René Renault,0657435222,Je suis disponible pour intervenir régulièrement ou occasionnellement selon vos besoins.,disponible intervenir régulièrement occasionnellement selon besoins
1009,Margot Martin,0696854781,J'offre mes services pour planter de nouvelles fleurs ou arbustes dans votre jardin.,joffre service planter nouvelles fleurs arbustes jardin
1010,Gilles Laurent,0622580729,Je peux vous conseiller sur les plantes les plus adaptées à votre jardin.,peux conseiller plantes plus adaptées jardin
1011,Alfred de Ferrand,0634565208,J'offre des  désherbage pour un jardin propre et net.,joffre désherbage jardin propre net
1012,Claude Collet,0665560472,Je peux également tailler vos haies et vos buissons pour leur donner une forme esthétique.,peux également tailler hay buissons donner forme esthétique
1013,Alain Jacques,0633869410,Je suis équipé pour entretenir vos arbres fruitiers et assurer une bonne récolte.,équipé entretenir arbres fruitiers assurer bonne récolte
1014,Marguerite Delaunay,0658105203,J'offre des  nettoyage pour enlever les feuilles mortes et les débris de votre jardin.,joffre nettoyage enlever feuilles mortes débris jardin
1015,Susan Pasquier,0617166326,Je peux également créer un potager dans votre jardin pour des légumes frais et savoureux.,peux également créer potager jardin légumes frais savoureux
1016,Henri Barbe de Etienne,0688780010,Je suis disponible pour réaliser des petits travaux de bricolage pour améliorer votre jardin.,disponible réaliser petits travaux bricolage améliorer jardin
1017,Claude-Claudine Marion,0620829052,J'offre des  pose de clôtures et de portails pour protéger votre jardin.,joffre pose clôtures portails protéger jardin
1018,Hugues Michaud,0666520749,Je peux également installer des éclairages pour illuminer votre jardin la nuit.,peux également_installer éclairages illuminer jardin nuit
1019,Vincent Bouchet,0627704241,Je suis compétent pour réaliser des travaux de terrassement et de nivellement.,compétent réaliser travaux terrassement nivellement
1020,Franck Bouvier,0697420909,J'offre des services d'arrosage pour prendre soin de vos plantes pendant votre absence.,joffre service darrosage prendre_soin plantes pendant absence
1021,Philippe Pons,0608969041,Je peux également installer un système d'irrigation pour un arrosage automatique.,peux également_installer système dirrigation arrosage automatique
1022,Maurice Henry,0629964355,Je suis disponible pour réaliser des petits travaux de maçonnerie pour améliorer votre jardin.,disponible réaliser petits travaux maçonnerie améliorer jardin
1023,Eugène Etienne-Schmitt,0655253888,J'offre des  réparation pour les équipements de jardin tels que les tondeuses ou les souffleurs.,joffre réparation équipements jardin tels tondeuses souffleurs
1024,Bertrand Le Gall,0638299498,Je suis équipé pour réaliser des travaux de nettoyage de terrasses et de patios.,équipé réaliser travaux nettoyage terrasses patio
1025,Lucie-Nathalie Begue,0681942409,J'offre des  décoration pour embellir votre jardin avec des ornements et des sculptures.,joffre décoration embellir jardin ornements sculpture
1026,Hugues Giraud Le Dijoux,0635696317,Je peux également créer un espace de détente dans votre jardin avec un hamac ou une balancelle.,peux également créer espace détente jardin hamac balancelle
1027,Arthur Becker,0600390269,Je suis disponible pour réaliser des petits travaux de menuiserie pour améliorer votre jardin.,disponible réaliser petits travaux menuiserie améliorer jardin
1028,Dominique-Anastasie Collin,0637402962,J'offre des  nettoyage pour enlever les moisissures et les taches de votre mobilier de jardin.,joffre nettoyage enlever moisissures tach mobilier jardin
1029,Vincent Marin de la Thibault,0687465909,Je suis compétent pour réaliser des travaux de réparation,compétent réaliser travaux réparation
1030,Rémy Dupuis Le Chretien,0681527226,Je propose mes services pour l'installation de jardinières ou de pots de fleurs.,propose service linstallation jardinières pot fleurs
1031,Gabriel Huet du Texier,0642731393,Je suis disponible pour entretenir votre jardin tout au long de l'année.,disponible entretenir jardin tout long lannée
1032,Roger Pierre,0600101046,J'offre des  décoration saisonnière pour embellir votre jardin.,joffre décoration saisonnière embellir jardin
1033,Anne Meunier,0625537998,Je suis compétent pour réaliser des travaux de construction de murs de soutènement.,compétent réaliser travaux construction murs soutènement
1034,Adrienne Blot,0617176299,J'offre des services d'installation de fontaines et de cascades pour ajouter une touche de fraîcheur à votre jardin.,joffre service dinstallation fontaines cascade ajouter touche fraîcheur jardin
1035,Alphonse Allain-Pruvost,0638479924,Je suis équipé pour réaliser des travaux de nettoyage de bassins et de piscines naturelles.,équipé réaliser travaux nettoyage bassins piscines naturelles
1036,Margot Salmon-Hernandez,0687522704,J'offre des  création de chemins et d'allées dans votre jardin.,joffre création chemins dallées jardin
1037,Rémy Fleury-Pottier,0642820741,Je peux également installer des abris pour protéger vos plantes en hiver.,peux également_installer abris protéger plantes hiver
1038,Marcel Legendre,0694185536,Je suis disponible pour réaliser des petits travaux de peinture pour embellir votre mobilier de jardin.,disponible réaliser petits travaux peinture embellir mobilier jardin
1039,Isaac Bousquet,0637372264,J'offre des  nettoyage de toitures et de garages,joffre nettoyage toitures garage
1040,Frédéric Valentin,0675774925,"Je propose des cours particuliers dans les matières suivantes : mathématiques, physique, chimie et biologie.",propose cours particuliers matières suivantes mathématiques physique chimie biologie
1041,Nath Garnier,0632274028,"Si vous cherchez un tuteur compétent pour   votre enfant à réussir, vous êtes au bon endroit !",si cherchez tuteur compétent enfant réussir bon_endroit
1042,Christelle Lebon,0651510821,"Mes cours sont adaptés à tous les niveaux, de l'école primaire jusqu'au lycée.",cours adaptés tous_niveaux lécole primaire jusquau lycée
1043,Vincent-Noël Marty,0666289300,J'ai une grande expérience en tant que tuteur et je suis capable d'  votre enfant à atteindre ses objectifs scolaires.,jai_grande expérience_tant tuteur capable enfant atteindre_objectifs scolaires
1044,Bertrand Devaux,0651408245,"Mes cours sont disponibles en personne ou en ligne, selon vos préférences.",cours disponibles personne ligne selon_préférences
1045,Gérard Julien,0677839239,"Si votre enfant doit améliorer ses résultats scolaires, contactez moi' .",si enfant doit améliorer_résultats scolaires contactez
1046,Noël Imbert,0696876367,J'offre des cours personnalisés pour   les élèves à surmonter les difficultés spécifiques qu'ils rencontrent dans leurs études.,joffre cours personnalisés élèves surmonter difficultés spécifiques quils_rencontrent leurs_études
1047,Vincent Collet,0648423245,Mes cours sont conçus pour   les élèves à acquérir les compétences dont ils ont besoin pour réussir dans leurs études.,cours conçus élèves acquérir compétences dont besoin réussir leurs_études
1048,Roland du Lemaire,0658275496,Je suis un tuteur passionné qui se consacre à   les élèves à réaliser leur potentiel.,tuteur passionné consacre élèves réaliser potentiel
1049,Nicolas Masse,0675765918,Je peux   votre enfant à améliorer ses résultats scolaires en travaillant avec lui sur des exercices pratiques et des exemples concrets.,peux enfant améliorer_résultats scolaires travaillant exercices pratiques exemples concrets
1050,Théophile Hoarau de la Legrand,0637637359,Mes cours sont adaptés à chaque élève et sont conçus pour répondre à leurs besoins spécifiques.,cours adaptés chaque_élève conçus répondre leurs besoins spécifiques
1051,Gérard Le Riou,0614017155,"Si vous cherchez un tuteur compétent et fiable pour   votre enfant, vous êtes au bon endroit.",si cherchez tuteur compétent fiable enfant bon_endroit
1052,Joséphine-Geneviève Thibault,0691152345,J'ai une expérience de plusieurs années en tant que tuteur et j'ai accompagné de nombreux élèves pour atteindre leurs objectifs scolaires.,jai expérience plusieurs années tant_tuteur jai accompagné nombreux élèves atteindre leurs objectifs scolaires
1053,Alexandre Deschamps,0679923043,Je suis un tuteur patient et dévoué qui se consacre aux élèves et à réussir.,tuteur patient dévoué consacre élèves réussir
1054,Mathilde Pierre,0696903084,Mes cours sont conçus les élèves : développer leur confiance en eux et à prendre plaisir à apprendre.,cours conçus élèves développer confiance prendre plaisir apprendre
1055,Michelle Regnier,0639608703,Je suis un tuteur qui peut mener votre enfant à la réussite.,tuteur peut mener enfant réussite
1056,Victor Lambert de la Mallet,0695230448,Je suis un tuteur expérimenté qui peut   les élèves à se concentrer et à réussir dans leurs études.,tuteur expérimenté peut élèves concentrer réussir leurs_études
1057,Amélie Vallet Le Benoit,0612170496,Mes cours sont adaptés aux besoins spécifiques de chaque élève: devoirs ou préparation aux examens.,cours adaptés besoins spécifiques chaque_élève devoir préparation_examen
1058,Julien Baudry,0653521871,Si votre enfant a besoin de soutien à l'école.,si enfant a_besoin soutien lécole
1059,Jérôme Delannoy,0683387734,J'ai une grande expérience en tant que tuteur et je suis en mesure d'  les élèves à atteindre leurs objectifs scolaires.,jai_grande expérience_tant tuteur mesure élèves atteindre leurs objectifs scolaires
1060,Capucine-Bernadette Regnier,0654724438,Mes cours sont conçus pour   les élèves à comprendre les concepts clés et à appliquer leurs connaissances de manière efficace.,cours conçus élèves comprendre concept clés appliquer leurs connaissances manière_efficace
1061,Charlotte Laurent,0694360349,"Si vous cherchez un tuteur compétent pour   votre enfant à réussir, n'hésitez pas à me contacter.",si cherchez tuteur compétent enfant réussir nhésitez_contacter
1062,Maryse Germain,0681973778,J'offre des cours personnalisés qui peuvent   les élèves à surmonter les obstacles qu'ils rencontrent dans leurs études.,joffre cours personnalisés peuvent élèves surmonter obstacle quils_rencontrent leurs_études
1063,Aimé Aubry,0626668114,"Mes cours sont adaptés à tous les niveaux, des débutants aux étudiants avancés.",cours adaptés tous_niveaux débutants étudiants avancés
1064,Nathalie Riou,0657033534,"Si vous avez des difficultés dans une matière scolaire ou universitaire, je peux vous faire progresser.",si difficultés matière scolaire universitaire peux faire progresser
1065,Auguste Gimenez,0608208383,Je propose des cours particuliers adaptés à votre niveau et à vos besoins spécifiques.,propose cours particuliers adaptés niveau besoins spécifiques
1066,Martine-Aurélie Vidal,0681877107,"Si vous cherchez un enseignant qualifié et expérimenté pour vous réussir, je suis à votre disposition.",si cherchez enseignant qualifié_expérimenté réussir disposition
1067,Céline Delorme de la Philippe,0689278055,Je peux vous accompagner dans votre apprentissage et vous fournir des conseils et des astuces pour réussir.,peux accompagner apprentissage fournir conseils astuces réussir
1068,Jeannine Foucher,0672004618,"Si vous souhaitez améliorer vos résultats scolaires ou universitaires, je suis là pour vous   à atteindre vos objectifs.",si souhaitez améliorer_résultats scolaires universitaires là atteindre_objectifs
1069,Sébastien-Jérôme Boulay,0639204416,Je suis passionné par l'enseignement et j'ai une grande expérience .,passionné lenseignement jai_grande expérience
1070,Anne du Delorme,0626591658,"Si vous êtes à la recherche d'un enseignant patient, compétent et pédagogue, n'hésitez pas à me contacter.",si recherche dun enseignant patient compétent pédagogue_nhésitez contacter
1071,Hugues de la Clerc,0685070479,"Je suis là pour vous   à maîtriser les notions difficiles de votre programme scolaire ou universitaire, à votre rythme.",là maîtriser notion difficiles programme scolaire universitaire rythme
1072,Marcel Ferrand,0696222548,"Si vous avez besoin d'un soutien personnalisé pour réussir vos examens ou pour combler vos lacunes, je suis là pour vous  .",si besoin dun soutien personnalisé réussir examen combler lacunes là
1073,Noël Carlier,0638224816,Je suis spécialisé dans l'accompagnement des élèves et des étudiants en difficulté et je peux vous   à progresser rapidement.,spécialisé laccompagnement élèves étudiants difficulté peux progresser rapidement
1074,Jérôme Pichon du Hardy,0663429910,"Si vous cherchez quelqu'un pour faire votre ménage, je peux m'en occuper pour vous.",si cherchez quelquun faire ménage peux men occuper
1075,Édith Rodrigues,0682017789,Je propose des  nettoyage de qualité pour vous   à garder votre maison propre et bien rangée.,propose nettoyage qualité garder maison propre_bien rangée
1076,Christelle Diallo,0637768504,"Si vous n'avez pas le temps ou l'énergie de faire le ménage, je suis là pour vous soulager de cette tâche.",si navez temp lénergie faire ménage là soulager cette tâche
1077,François-Adrien Morvan,0691938266,Je suis spécialisé dans le nettoyage en profondeur de tous types de surfaces et de pièces.,spécialisé nettoyage profondeur tous_type surface pièces
1078,Martin Martinez,0604096410,"Si vous cherchez une personne de confiance pour s'occuper de votre ménage, je suis là pour vous  .",si cherchez personne confiance soccuper ménage là
1079,Philippe de Mahe,0665274419,"Je suis disponible pour faire le ménage chez vous, à votre convenance et selon vos besoins.",disponible faire ménage chez convenance selon besoins
1080,Camille Garcia,0601743704,"Si vous souhaitez rentrer chez vous dans une maison propre et bien rangée, je peux m'occuper du ménage pour vous.",si souhaitez rentrer chez maison propre_bien rangée peux moccuper ménage
1081,Honoré Nguyen Le Lombard,0621049439,"Je suis minutieux et rigoureux dans mon travail de nettoyage, pour garantir un résultat impeccable.",minutieux_rigoureux travail nettoyage garantir résultat impeccable
1082,Christelle Le Moreau,0646297300,"Si vous avez besoin d'un  nettoyage régulier ou ponctuel, n'hésitez pas à me contacter.",si besoin dun nettoyage régulier ponctuel nhésitez_contacter
1083,Jeannine de la Pierre,0661191239,"Je suis compétent dans toutes les tâches de ménage, du nettoyage des sols à la poussière et au repassage.",compétent toutes tâches ménage nettoyage sol poussière repassage
1084,Benjamin Sauvage,0659943117,"Si vous êtes passionné de musique et que vous voulez apprendre à jouer d'un instrument, je peux vous   à atteindre votre objectif.",si passionné musique voulez apprendre jouer dun_instrument peux atteindre objectif
1085,Michel Monnier-Launay,0685344530,Je suis un musicien expérimenté et je propose des cours particuliers de musique adaptés à tous les niveaux.,musicien expérimenté propose cours particuliers musique adaptés tous_niveaux
1086,Inès Royer,0631402358,"Si vous cherchez un professeur de musique compétent et passionné pour vous guider dans votre apprentissage, je suis là pour vous  .",si cherchez professeur musique compétent passionné guider apprentissage là
1087,Jules Richard,0639740922,"Je suis spécialisé dans l'enseignement de la musique, de la théorie musicale à la pratique d'un instrument.",spécialisé lenseignement musique théorie musicale pratique dun_instrument
1088,Frédéric David,0674054667,"Si vous voulez découvrir le monde de la musique ou perfectionner votre technique, je peux vous proposer des cours sur mesure pour répondre à vos besoins.",si voulez découvrir monde musique perfectionner technique peux proposer cours mesure répondre besoins
1089,Lorraine de Robert,0678891731,"Je suis disponible pour donner des cours de musique chez vous ou dans mon studio, selon vos préférences.",disponible donner cours musique chez studio selon_préférences
1090,Benoît Moulin,0653488021,"Si vous cherchez à améliorer votre jeu d'un instrument ou votre compréhension de la musique, je suis là pour vous   à progresser.",si cherchez améliorer jeu dun_instrument compréhension musique là progresser
1091,Jérôme Bailly,0654398715,Je suis passionné par l'enseignement de la musique et j'ai une grande expérience avec les élèves pour les faire avancer.,passionné lenseignement musique jai_grande expérience élèves faire avancer
1092,Thibaut Ramos de Toussaint,0662306392,"Si vous êtes à la recherche d'un professeur de musique compétent, patient et pédagogue, n'hésitez pas à me contacter.",si recherche dun professeur musique compétent patient pédagogue_nhésitez contacter
1093,Jeannine Allard de Courtois,0637750023,Je propose des cours de musique interactifs et ludiques pour vous permettre de développer votre créativité et votre sensibilité musicale.,propose cours musique interactifs ludiques permettre développer créativité sensibilité musicale
1094,Hugues de la Vidal,0618536102,"Si vous cherchez des pièces uniques et personnalisées, je peux créer des objets d'artisanat sur mesure pour vous.",si cherchez pièces_uniques personnalisées peux créer objets dartisanat mesure
1095,Margaux Colin,0661983699,"Je suis un artisan passionné et je propose des créations artisanales de qualité supérieure, conçues avec soin et précision.",artisan passionné propose créations artisanales qualité_supérieure conçues soin précision
1096,Timothée Carpentier-Ferreira,0651936166,"Si vous souhaitez offrir un cadeau unique ou décorer votre intérieur avec des pièces originales, je peux créer des objets artisanaux pour répondre à vos besoins.",si souhaitez offrir cadeau unique décorer intérieur pièces originales peux créer objets_artisanaux répondre besoins
1097,Luc de la Poirier,0632485135,"Je suis spécialisé dans la création d'objets artisanaux en bois, en tissu, en verre et en métal.",spécialisé création dobjets artisanaux bois tissu verre métal
1098,Joseph Gomes,0668334232,"Si vous avez une idée en tête ou un projet spécifique, je peux vous   à le réaliser avec mes compétences artisanales.",si idée tête projet spécifique peux réaliser compétences artisanales
1099,Augustin-Alfred Roche,0691677023,Je suis disponible pour réaliser des commandes sur mesure selon vos envies et vos besoins spécifiques.,disponible réaliser commandes mesure selon envy besoins spécifiques
1100,Arthur Lemoine,0655947736,"Si vous cherchez des objets artisanaux de qualité supérieure pour votre maison ou pour offrir, je suis là pour vous  .",si cherchez objets_artisanaux qualité_supérieure maison offrir là
1101,Adrien Richard,0688832868,"Je suis un artisan minutieux et rigoureux, et je m'assure que chaque pièce que je crée est unique et de qualité irréprochable.",artisan minutieux_rigoureux massure chaque pièce crée unique qualité irréprochable
1102,Nicole Thibault Le Ribeiro,0658976144,"Si vous cherchez des objets artisanaux uniques, faits à la main avec des matériaux de qualité, n'hésitez pas à me contacter.",si cherchez objets_artisanaux uniques faits_main matériaux qualité nhésitez_contacter
1103,Margaud du Leroux,0682566368,Je suis passionné par l'artisanat et je serais heureux de créer pour vous des pièces uniques et de qualité supérieure qui répondent à vos attentes.,passionné lartisanat heureux créer pièces_uniques qualité_supérieure répondent attentes
1104,Olivier Loiseau,0631350446,"Si vous avez besoin de gérer vos tâches administratives et vous concentrer sur votre activité principale, je peux vous proposer mes services professionnels d'assistance administrative.",si besoin gérer tâches_administratives concentrer_activité principale peux proposer service professionnels dassistance administrative
1105,Manon Chretien,0690860765,"Je suis un assistant administratif qualifié et expérimenté, capable de vous   dans toutes vos tâches administratives.",assistant_administratif qualifié_expérimenté capable toutes tâches_administratives
1106,Suzanne Maillard-Courtois,0665095778,"Si vous êtes débordé par les tâches administratives de votre entreprise, je suis là pour vous offrir une assistance administrative efficace et professionnelle.",si débordé tâches_administratives entreprise là offrir_assistance administrative efficace professionnelle
1107,Jeannine-Constance Guillet,0607198242,"Je suis spécialisé dans l'administration et la gestion de documents et de données, et je peux vous   à organiser votre entreprise de manière efficace et rentable.",spécialisé ladministration gestion document données peux organiser entreprise manière_efficace rentable
1108,Paul Labbe,0661650820,"Si vous cherchez un assistant administratif compétent pour gérer vos tâches administratives, je suis là pour vous  .",si cherchez assistant_administratif compétent gérer tâches_administratives là
1109,Monique Gros de Poulain,0684271331,"Je suis disponible pour gérer vos appels, vos e-mails, vos factures et vos documents, pour que vous puissiez vous concentrer sur votre activité principale.",disponible gérer appels email factures document puissiez concentrer_activité principale
1110,Laurent Chauvin,0636850230,"Si vous cherchez à externaliser vos tâches administratives pour gagner en efficacité et en productivité, je suis là pour vous  .",si cherchez externaliser tâches_administratives gagner efficacité productivité là
1111,Agathe Traore,0664549352,"Je suis un professionnel de l'administration et de la gestion, capable de répondre à tous vos besoins administratifs de manière rapide et efficace.",professionnel ladministration gestion capable répondre tous besoins administratifs manière rapide efficace
1112,Marianne Bazin,0657342619,"Si vous cherchez une assistance administrative professionnelle pour votre entreprise, n'hésitez pas à me contacter pour en savoir plus sur mes services.",si cherchez assistance administrative professionnelle entreprise nhésitez_contacter savoir_plus service
1113,Claudine Tessier,0672524252,"Je suis passionné par l'administration et la gestion, et je serais heureux de vous   à développer votre entreprise en prenant en charge vos tâches administratives.",passionné ladministration gestion heureux développer entreprise prenant charge tâches_administratives
1114,Gilbert Lejeune,0664451558,"Si vous avez besoin d'une personne à domicile pour vous ou un membre de votre famille, je suis là pour vous offrir des services personnalisés et adaptés à vos besoins.",si besoin dune personne domicile membre_famille là offrir service personnalisés adaptés besoins
1115,Éric Muller Le Dijoux,0628004859,"Je suis un professionnel de l'accompagnement à la personne à domicile, capable de vous fournir une assistance personnalisée et de qualité supérieure.",professionnel laccompagnement personne domicile capable fournir assistance personnalisée qualité_supérieure
1116,Capucine de Aubry,0637110535,"Si vous cherchez une gardienne pour vous accompagner dans votre quotidien, je suis là pour vous offrir mes services professionnels.",si cherchez gardienne accompagner_quotidien là offrir service professionnels
1117,Matthieu Bazin,0657513330,"Je suis spécialisé dans l'aide à la personne à domicile, et je peux vous   dans les tâches quotidiennes telles que les repas, les courses, le ménage et les soins personnels.",spécialisé laide personne domicile peux tâches quotidiennes_telles repas course ménage soins personnel
1118,Isabelle Maurice,0632195789,"Si vous cherchez une personne à domicile pour un membre de votre famille qui a besoin de soins spécifiques, je peux vous offrir une assistance adaptée à ses besoins.",si cherchez personne domicile membre_famille a_besoin soins spécifiques peux offrir_assistance adaptée besoins
1119,Geneviève Auger,0637486530,"Je suis disponible pour fournir une aide à domicile à temps plein ou à temps partiel, selon vos besoins spécifiques.",disponible fournir aide domicile temp plein temp partiel selon besoins spécifiques
1120,Bernard Marty,0605501885,"Si vous cherchez une aide à domicile qui soit à l'écoute de vos besoins et de vos attentes, je suis là pour vous offrir mes services professionnels et personnalisés.",si cherchez aide domicile lécoute besoins attentes là offrir service professionnels personnalisés
1121,Noël Dos Santos,0602557417,"Je suis un professionnel expérimenté et fiable, et je m'engage à vous offrir une assistance de qualité supérieure.",professionnel expérimenté fiable mengage offrir_assistance qualité_supérieure
1122,Juliette Goncalves-Bailly,0631700795,"Si vous cherchez un professionnel à domicile pour vous ou un membre de votre famille, n'hésitez pas à me contacter pour en savoir plus sur mes services personnalisés.",si cherchez professionnel domicile membre_famille nhésitez_contacter savoir_plus service personnalisés
